RACE,CANDIDATE,VOTES,COUNTY
Mayor – City of Allen,Baine Brooks,54,Colin
Mayor – City of Allen,OVER VOTES,0,Colin
Mayor – City of Allen,UNDER VOTES,212,Colin
"Councilmember, Place No 2 – City of Allen",Nathan Polsky,56,Colin
"Councilmember, Place No 2 – City of Allen",Tommy Baril,54,Colin
"Councilmember, Place No 2 – City of Allen",OVER VOTES,27,Colin
"Councilmember, Place No 2 – City of Allen",UNDER VOTES,129,Colin
"City Council, Place 3 – City of Anna",Bryan F. Heath,23,Colin
"City Council, Place 3 – City of Anna",Stan Carver II,22,Colin
"City Council, Place 3 – City of Anna",Kelly Herndon,22,Colin
"City Council, Place 3 – City of Anna",OVER VOTES,11,Colin
"City Council, Place 3 – City of Anna",UNDER VOTES,11,Colin
"City Council, Place 5 – City of Anna",Elden Baker,23,Colin
"City Council, Place 5 – City of Anna",Danny Ussery,22,Colin
"City Council, Place 5 – City of Anna",OVER VOTES,11,Colin
"City Council, Place 5 – City of Anna",UNDER VOTES,33,Colin
Mayor – City of Carrollton,Steve Babick,5,Colin
Mayor – City of Carrollton,Young Sung,3,Colin
Mayor – City of Carrollton,Adam Polter,3,Colin
Mayor – City of Carrollton,OVER VOTES,2,Colin
Mayor – City of Carrollton,UNDER VOTES,2,Colin
"City Council, Place 2 – City of Carrollton",Jason Carpenter,5,Colin
"City Council, Place 2 – City of Carrollton",Eddie Lopez,3,Colin
"City Council, Place 2 – City of Carrollton",OVER VOTES,2,Colin
"City Council, Place 2 – City of Carrollton",UNDER VOTES,5,Colin
"City Council, Place 4 – City of Carrollton",Andrew Palacios,5,Colin
"City Council, Place 4 – City of Carrollton",Brittney Verdell,3,Colin
"City Council, Place 4 – City of Carrollton",OVER VOTES,2,Colin
"City Council, Place 4 – City of Carrollton",UNDER VOTES,5,Colin
"City Council, Place 6 – City of Carrollton",Mike Dooling,5,Colin
"City Council, Place 6 – City of Carrollton",Daisy Palomo,3,Colin
"City Council, Place 6 – City of Carrollton",OVER VOTES,2,Colin
"City Council, Place 6 – City of Carrollton",UNDER VOTES,5,Colin
Mayor – City of Celina,Ryan Tubbs,22,Colin
Mayor – City of Celina,Sean Terry,20,Colin
Mayor – City of Celina,OVER VOTES,11,Colin
Mayor – City of Celina,UNDER VOTES,35,Colin
"Councilman, Place 4 – City of Celina",KJ Clark,22,Colin
"Councilman, Place 4 – City of Celina",Wendie Wigginton,20,Colin
"Councilman, Place 4 – City of Celina",OVER VOTES,11,Colin
"Councilman, Place 4 – City of Celina",UNDER VOTES,35,Colin
"Councilman, Place 5 – City of Celina",Mindy Koehne,20,Colin
"Councilman, Place 5 – City of Celina",OVER VOTES,0,Colin
"Councilman, Place 5 – City of Celina",UNDER VOTES,68,Colin
Mayor – City of Dallas,Eric Johnson,28,Colin
Mayor – City of Dallas,Write-in,1,Colin
Mayor – City of Dallas,OVER VOTES,14,Colin
Mayor – City of Dallas,UNDER VOTES,66,Colin
"Member of Council, District 12 – City of Dallas",Cara Mendelsohn,26,Colin
"Member of Council, District 12 – City of Dallas",OVER VOTES,0,Colin
"Member of Council, District 12 – City of Dallas",UNDER VOTES,79,Colin
"Councilmember, Place 1 – City of Farmersville",Mary Berry,4,Colin
"Councilmember, Place 1 – City of Farmersville",Coleman Strickland,2,Colin
"Councilmember, Place 1 – City of Farmersville",Richard Repp,2,Colin
"Councilmember, Place 1 – City of Farmersville",OVER VOTES,1,Colin
"Councilmember, Place 1 – City of Farmersville",UNDER VOTES,1,Colin
"Councilmember, Place 3 – City of Farmersville",Ted Wagner,2,Colin
"Councilmember, Place 3 – City of Farmersville",OVER VOTES,0,Colin
"Councilmember, Place 3 – City of Farmersville",UNDER VOTES,8,Colin
Proposition No 1 – City of Farmersville,For,21,Colin
Proposition No 1 – City of Farmersville,Against,19,Colin
Proposition No 1 – City of Farmersville,OVER VOTES,10,Colin
Proposition No 1 – City of Farmersville,UNDER VOTES,26,Colin
Proposition No 2 – City of Farmersville,For,4,Colin
Proposition No 2 – City of Farmersville,Against,2,Colin
Proposition No 2 – City of Farmersville,OVER VOTES,1,Colin
Proposition No 2 – City of Farmersville,UNDER VOTES,3,Colin
Mayor – City of Frisco,Jonathan David Spencer,54,Colin
Mayor – City of Frisco,Mark Piland,52,Colin
Mayor – City of Frisco,Jeff Cheney,52,Colin
Mayor – City of Frisco,OVER VOTES,27,Colin
Mayor – City of Frisco,UNDER VOTES,37,Colin
"City Council, Place 5 – City of Frisco",Anwer Azam,54,Colin
"City Council, Place 5 – City of Frisco",Laura Rummel,52,Colin
"City Council, Place 5 – City of Frisco",OVER VOTES,27,Colin
"City Council, Place 5 – City of Frisco",UNDER VOTES,89,Colin
"City Council, Place 6 – City of Frisco",Brian Livingston,52,Colin
"City Council, Place 6 – City of Frisco",OVER VOTES,0,Colin
"City Council, Place 6 – City of Frisco",UNDER VOTES,170,Colin
Proposition A – City of Frisco,For,54,Colin
Proposition A – City of Frisco,Against,52,Colin
Proposition A – City of Frisco,OVER VOTES,27,Colin
Proposition A – City of Frisco,UNDER VOTES,89,Colin
Proposition B – City of Frisco,For,54,Colin
Proposition B – City of Frisco,Against,52,Colin
Proposition B – City of Frisco,OVER VOTES,27,Colin
Proposition B – City of Frisco,UNDER VOTES,89,Colin
Proposition C – City of Frisco,For,53,Colin
Proposition C – City of Frisco,Against,52,Colin
Proposition C – City of Frisco,OVER VOTES,27,Colin
Proposition C – City of Frisco,UNDER VOTES,90,Colin
Proposition D – City of Frisco,For,53,Colin
Proposition D – City of Frisco,Against,52,Colin
Proposition D – City of Frisco,OVER VOTES,27,Colin
Proposition D – City of Frisco,UNDER VOTES,90,Colin
