RACE,UNEDITED,CANDIDATE,VOTES,COUNTY
Mayor – City of Allen,"RACE_CANDIDATES    Mayor – City of Allen - Baine Brooks
RACE_CANDIDATES              Mayor – City of Allen - 54
dtype: object",Baine Brooks,54,Colin
Mayor – City of Allen,"RACE_CANDIDATES    Mayor – City of Allen.1 - OVER VOTES
RACE_CANDIDATES             Mayor – City of Allen.1 - 0
dtype: object",OVER VOTES,0,Colin
Mayor – City of Allen,"RACE_CANDIDATES    Mayor – City of Allen.2 - UNDER VOTES
RACE_CANDIDATES            Mayor – City of Allen.2 - 212
dtype: object",UNDER VOTES,212,Colin
"Councilmember, Place No 2 – City of Allen","RACE_CANDIDATES    Councilmember, Place No. 2 – City of Allen - N...
RACE_CANDIDATES      Councilmember, Place No. 2 – City of Allen - 56
dtype: object",Nathan Polsky,56,Colin
"Councilmember, Place No 2 – City of Allen","RACE_CANDIDATES    Councilmember, Place No. 2 – City of Allen.1 -...
RACE_CANDIDATES    Councilmember, Place No. 2 – City of Allen.1 - 54
dtype: object",Tommy Baril,54,Colin
"Councilmember, Place No 2 – City of Allen","RACE_CANDIDATES    Councilmember, Place No. 2 – City of Allen.2 -...
RACE_CANDIDATES    Councilmember, Place No. 2 – City of Allen.2 - 27
dtype: object",OVER VOTES,27,Colin
"Councilmember, Place No 2 – City of Allen","RACE_CANDIDATES    Councilmember, Place No. 2 – City of Allen.3 -...
RACE_CANDIDATES    Councilmember, Place No. 2 – City of Allen.3 -...
dtype: object",UNDER VOTES,129,Colin
"City Council, Place 3 – City of Anna","RACE_CANDIDATES    City Council, Place 3 – City of Anna - Bryan F...
RACE_CANDIDATES            City Council, Place 3 – City of Anna - 23
dtype: object",Bryan F. Heath,23,Colin
"City Council, Place 3 – City of Anna","RACE_CANDIDATES    City Council, Place 3 – City of Anna.1 - Stan ...
RACE_CANDIDATES          City Council, Place 3 – City of Anna.1 - 22
dtype: object",Stan Carver II,22,Colin
"City Council, Place 3 – City of Anna","RACE_CANDIDATES    City Council, Place 3 – City of Anna.2 - Kelly...
RACE_CANDIDATES          City Council, Place 3 – City of Anna.2 - 22
dtype: object",Kelly Herndon,22,Colin
"City Council, Place 3 – City of Anna","RACE_CANDIDATES    City Council, Place 3 – City of Anna.3 - OVER ...
RACE_CANDIDATES          City Council, Place 3 – City of Anna.3 - 11
dtype: object",OVER VOTES,11,Colin
"City Council, Place 3 – City of Anna","RACE_CANDIDATES    City Council, Place 3 – City of Anna.4 - UNDER...
RACE_CANDIDATES          City Council, Place 3 – City of Anna.4 - 11
dtype: object",UNDER VOTES,11,Colin
"City Council, Place 5 – City of Anna","RACE_CANDIDATES    City Council, Place 5 – City of Anna - Elden B...
RACE_CANDIDATES            City Council, Place 5 – City of Anna - 23
dtype: object",Elden Baker,23,Colin
"City Council, Place 5 – City of Anna","RACE_CANDIDATES    City Council, Place 5 – City of Anna.1 - Danny...
RACE_CANDIDATES          City Council, Place 5 – City of Anna.1 - 22
dtype: object",Danny Ussery,22,Colin
"City Council, Place 5 – City of Anna","RACE_CANDIDATES    City Council, Place 5 – City of Anna.2 - OVER ...
RACE_CANDIDATES          City Council, Place 5 – City of Anna.2 - 11
dtype: object",OVER VOTES,11,Colin
"City Council, Place 5 – City of Anna","RACE_CANDIDATES    City Council, Place 5 – City of Anna.3 - UNDER...
RACE_CANDIDATES          City Council, Place 5 – City of Anna.3 - 33
dtype: object",UNDER VOTES,33,Colin
Mayor – City of Carrollton,"RACE_CANDIDATES    Mayor – City of Carrollton - Steve Babick
RACE_CANDIDATES               Mayor – City of Carrollton - 5
dtype: object",Steve Babick,5,Colin
Mayor – City of Carrollton,"RACE_CANDIDATES    Mayor – City of Carrollton.1 - Young Sung
RACE_CANDIDATES             Mayor – City of Carrollton.1 - 3
dtype: object",Young Sung,3,Colin
Mayor – City of Carrollton,"RACE_CANDIDATES    Mayor – City of Carrollton.2 - Adam Polter
RACE_CANDIDATES              Mayor – City of Carrollton.2 - 3
dtype: object",Adam Polter,3,Colin
