RACE,UNEDITED,CANDIDATE,VOTES,COUNTY
"Councilmember, Place No. 1 - City of Allen - Mike Schaeffer","Councilmember, Place No. 1 - City of Allen - Mike Schaeffer",Mike Schaeffer,3114,Colin
"Councilmember, Place No. 1 - City of Allen.1 - Dave Scott","Councilmember, Place No. 1 - City of Allen.1 - Dave Scott",Dave Scott,1619,Colin
"Councilmember, Place No. 1 - City of Allen.2 - Esrar Razvi","Councilmember, Place No. 1 - City of Allen.2 - Esrar Razvi",Esrar Razvi,746,Colin
"Councilmember, Place No. 1 - City of Allen.3 - OVER VOTES","Councilmember, Place No. 1 - City of Allen.3 - OVER VOTES",OVER VOTES,0,Colin
"Councilmember, Place No. 1 - City of Allen.4 - UNDER VOTES","Councilmember, Place No. 1 - City of Allen.4 - UNDER VOTES",UNDER VOTES,105,Colin
"Councilmember, Place No. 3 - City of Allen - Dave Cornette","Councilmember, Place No. 3 - City of Allen - Dave Cornette",Dave Cornette,1938,Colin
"Councilmember, Place No. 3 - City of Allen.1 - Ken Cook","Councilmember, Place No. 3 - City of Allen.1 - Ken Cook",Ken Cook,2618,Colin
"Councilmember, Place No. 3 - City of Allen.2 - Saad Hamid","Councilmember, Place No. 3 - City of Allen.2 - Saad Hamid",Saad Hamid,912,Colin
"Councilmember, Place No. 3 - City of Allen.3 - OVER VOTES","Councilmember, Place No. 3 - City of Allen.3 - OVER VOTES",OVER VOTES,0,Colin
"Councilmember, Place No. 3 - City of Allen.4 - UNDER VOTES","Councilmember, Place No. 3 - City of Allen.4 - UNDER VOTES",UNDER VOTES,116,Colin
"Councilmember, Place No. 5 - City of Allen - Dave Shafer","Councilmember, Place No. 5 - City of Allen - Dave Shafer",Dave Shafer,1715,Colin
"Councilmember, Place No. 5 - City of Allen.1 - Zeeshan Naseh","Councilmember, Place No. 5 - City of Allen.1 - Zeeshan Naseh",Zeeshan Naseh,820,Colin
"Councilmember, Place No. 5 - City of Allen.2 - Walter Merrill","Councilmember, Place No. 5 - City of Allen.2 - Walter Merrill",Walter Merrill,190,Colin
"Councilmember, Place No. 5 - City of Allen.3 - Carl Clemencich","Councilmember, Place No. 5 - City of Allen.3 - Carl Clemencich",Carl Clemencich,2740,Colin
"Councilmember, Place No. 5 - City of Allen.4 - OVER VOTES","Councilmember, Place No. 5 - City of Allen.4 - OVER VOTES",OVER VOTES,1,Colin
"Councilmember, Place No. 5 - City of Allen.5 - UNDER VOTES","Councilmember, Place No. 5 - City of Allen.5 - UNDER VOTES",UNDER VOTES,118,Colin
Mayor - City of Anna ,Mayor - City of Anna - Pete Cain,Pete Cain,645,Colin
Mayor - City of Anna,Mayor - City of Anna.1 - Randy Atchley,Randy Atchley,493,Colin
Mayor - City of Anna,Mayor - City of Anna.2 - OVER VOTES,OVER VOTES,0,Colin
Mayor - City of Anna,Mayor - City of Anna.3 - UNDER VOTES,UNDER VOTES,54,Colin
"City Council, Place 1 - City of Anna ","City Council, Place 1 - City of Anna - Bryan Heath",Bryan Heath,427,Colin
"City Council, Place 1 - City of Anna","City Council, Place 1 - City of Anna.1 - Kevin Toten",Kevin Toten,653,Colin
"City Council, Place 1 - City of Anna","City Council, Place 1 - City of Anna.2 - OVER VOTES",OVER VOTES,0,Colin
"City Council, Place 1 - City of Anna","City Council, Place 1 - City of Anna.3 - UNDER VOTES",UNDER VOTES,112,Colin
