COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,"Councilmember, Place No. 3 - City of Allen","Councilmember, Place No. 3 - City of Allen","Councilmember, Place No. 3 - City of Allen","Councilmember, Place No. 3 - City of Allen","Councilmember, Place No. 5 - City of Allen","Councilmember, Place No. 5 - City of Allen","Councilmember, Place No. 5 - City of Allen","Councilmember, Place No. 5 - City of Allen","City Council, Place 4, Unexpired Term - City of Anna","City Council, Place 4, Unexpired Term - City of Anna","City Council, Place 4, Unexpired Term - City of Anna","City Council, Place 4, Unexpired Term - City of Anna",
,,,,,,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,
,,,VOTERS,BALLOTS CAST,BALLOTS CAST,Dave Cornette,Ken Cook,OVER VOTES,UNDER VOTES,Dave Shafer,Carl Clemencich,OVER VOTES,UNDER VOTES,Kelly Herndon,Bruce Norwood,OVER VOTES,UNDER VOTES,
Colin,0001,PCT 005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0001,PCT 005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0001,PCT 005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0001,PCT 005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0001,PCT 005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0002,PCT 006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0002,PCT 006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0002,PCT 006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0002,PCT 006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0002,PCT 006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0003,PCT 007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0003,PCT 007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0003,PCT 007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0003,PCT 007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0003,PCT 007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0004,PCT 017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0004,PCT 017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0004,PCT 017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0004,PCT 017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0004,PCT 017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0005,PCT 018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0005,PCT 018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0005,PCT 018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0005,PCT 018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0005,PCT 018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0006,PCT 040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0006,PCT 040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0006,PCT 040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0006,PCT 040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0006,PCT 040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0007,PCT 059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0007,PCT 059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0007,PCT 059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0007,PCT 059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0007,PCT 059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0008,PCT 080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0008,PCT 080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0008,PCT 080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0008,PCT 080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0008,PCT 080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0009,PCT 082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0009,PCT 082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0009,PCT 082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0009,PCT 082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0009,PCT 082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0010,PCT 095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0010,PCT 095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0010,PCT 095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0010,PCT 095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0010,PCT 095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colin,0011,PCT 106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
